id,text,category,difficulty,char_count,source_type,enabled
269,체크포인트를 통과했다,curated,3,10,original,True
270,숨겨진 보너스를 찾았다,curated,3,10,original,True
271,새 기록에 도전한다,curated,3,8,original,True
272,최고 기록을 갈아치웠다,curated,3,10,original,True
273,오늘의 기록을 저장했다,curated,3,10,original,True
274,다음 라운드를 준비한다,curated,3,10,original,True
275,새로운 상대가 입장했다,curated,3,10,original,True
276,관전자가 들어왔다,curated,3,8,original,True
277,게임이 곧 시작된다,curated,3,8,original,True
278,대기실이 거의 찼다,curated,3,8,original,True
279,친구가 방에 들어왔다,curated,3,9,original,True
280,준비 버튼을 눌러주세요,curated,3,10,original,True
281,모두 준비가 끝났다,curated,3,8,original,True
282,이번 판은 속도전이다,curated,3,9,original,True
283,이번 판은 정확도 승부,curated,3,9,original,True
284,이번에는 긴 문장이다,curated,3,9,original,True
285,짧은 단어가 쏟아진다,curated,3,9,original,True
286,단어가 갑자기 사라졌다,curated,3,10,original,True
287,새 단어가 나타났다,curated,3,8,original,True
288,같은 단어를 노리고 있다,curated,3,10,original,True
289,간발의 차이로 먼저 잡았다,curated,3,11,original,True
290,선점에 성공했다,curated,2,7,original,True
291,콤보가 끊기지 않는다,curated,3,9,original,True
292,연속 성공 보너스,curated,3,7,original,True
293,먹물이 화면을 가렸다,curated,3,9,original,True
294,글자가 잠깐 흐려졌다,curated,3,9,original,True
295,방해 효과가 시작됐다,curated,3,9,original,True
296,방해 효과가 끝났다,curated,3,8,original,True
297,다시 시야가 선명해졌다,curated,3,10,original,True
298,침착하면 따라잡을 수 있다,curated,3,11,original,True
299,속도보다 오타를 조심해,curated,3,10,original,True
300,긴장하지 말고 입력해,curated,3,9,original,True
301,눈에 들어오는 단어부터,curated,3,10,original,True
302,욕심내면 오타가 난다,curated,3,9,original,True
303,상대가 노리는 단어를 봐,curated,3,10,original,True
304,빈틈을 놓치지 마,curated,3,7,original,True
305,새 목표가 바로 채워졌다,curated,3,10,original,True
306,오늘도 즐겁게 시작,curated,3,8,original,True
307,가볍게 한 판 어때,curated,3,7,original,True
308,친구와 같이 해보자,curated,3,8,original,True
309,이번에는 누가 이길까,curated,3,9,original,True
310,결과는 마지막에 알 수 있다,curated,3,11,original,True
311,잘 치는 사람보다 침착한 사람이 강하다,curated,4,16,original,True
312,빠른 손보다 빠른 판단이 필요하다,curated,4,14,original,True
313,어떤 단어를 고를지가 중요하다,curated,4,13,original,True
314,쉬운 단어를 먼저 잡을까,curated,3,10,original,True
315,긴 문장에 도전해볼까,curated,3,9,original,True
316,점수가 높은 목표를 노려라,curated,3,11,original,True
317,지금은 콤보를 지킬 시간,curated,3,10,original,True
318,마지막 한 글자까지 정확하게,curated,3,12,original,True
319,눈과 손의 호흡이 중요하다,curated,3,11,original,True
320,한순간에 순위가 뒤집힌다,curated,3,11,original,True
321,작은 실수가 큰 차이를 만든다,curated,3,12,original,True
322,성 앞에서 탐험가가 달려간다,sentence,3,12,original,True
323,공원에서 우주인이 사라진다,sentence,3,12,original,True
324,공원에서 로봇이 사라진다,sentence,3,11,original,True
325,성 앞에서 우주인이 다가온다,sentence,3,12,original,True
326,로봇이 다가온다,short_sentence,2,7,original,True
327,지금은 조금 쉬었다 가자,daily,3,10,original,True
328,강아지가 달려간다,short_sentence,3,8,original,True
329,사진 한 장만 찍으려 했는데 웃음이 먼저 터졌다,fun,5,19,original,True
330,성 앞에서 로봇이 춤을 춘다,sentence,3,11,original,True
331,성 앞에서 다람쥐가 반짝인다,sentence,3,12,original,True
332,놀이터에서 펭귄이 반짝인다,sentence,3,12,original,True
333,이번에는 좋은 것부터 해보자,daily,3,12,original,True
334,빠르게 재미있게 놀아보자,daily,3,11,original,True
335,잠깐 기분 좋게 시작하자,daily,3,10,original,True
336,정류장에서 고양이가 달려간다,sentence,4,13,original,True
337,햇살이 문을 연다,short_sentence,3,7,original,True
338,운동장에서 탐험가가 반짝인다,sentence,4,13,original,True
339,바닷가에서 마법사가 날아간다,sentence,4,13,original,True
340,보물섬에서 토끼가 반짝인다,sentence,3,12,original,True
341,옥상에서 마법사가 달려간다,sentence,3,12,original,True
342,보물섬에서 토끼가 춤을 춘다,sentence,3,12,original,True
343,옥상에서 고양이가 굴러간다,sentence,3,12,original,True
344,퇴근하면 오늘 계획을 세워보자,daily,4,13,original,True
345,빠르게 오늘 계획을 세워보자,daily,3,12,original,True
346,탐험가가 다가온다,short_sentence,3,8,original,True
347,별빛이 달려간다,short_sentence,2,7,original,True
348,이번에는 끝까지 집중하자,daily,3,11,original,True
349,일단 간식부터 챙기자,daily,3,9,original,True
350,구름 위에서 강아지가 춤을 춘다,sentence,4,13,original,True
351,한 입만 먹으려고 했는데 집중력이 돌아왔다,fun,4,18,original,True
352,공원에서 토끼가 사라진다,sentence,3,11,original,True
353,보너스가 등장했다 순간을 놓치지 말자,game,4,16,original,True
354,성 앞에서 고양이가 다가온다,sentence,3,12,original,True
355,보물섬에서 고양이가 점프한다,sentence,4,13,original,True
356,우주인이 신호를 기다린다,short_sentence,3,11,original,True
357,퇴근하면 음악을 들어보자,daily,3,11,original,True
358,기차가 점프한다,short_sentence,2,7,original,True
359,우주선에서 우주인이 반짝인다,sentence,4,13,original,True
360,버스가 달려간다,short_sentence,2,7,original,True
361,도서관에서 토끼가 춤을 춘다,sentence,3,12,original,True
362,공원에서 펭귄이 굴러간다,sentence,3,11,original,True
363,구름 위에서 펭귄이 날아간다,sentence,3,12,original,True
364,운동장에서 친구가 다가온다,sentence,3,12,original,True
365,옥상에서 토끼가 달려간다,sentence,3,11,original,True
366,운동장에서 강아지가 사라진다,sentence,4,13,original,True
367,버스가 춤을 춘다,short_sentence,3,7,original,True
368,사진 한 장만 찍으려 했는데 간식이 나를 기다린다,fun,5,20,original,True
369,골목길에서 강아지가 점프한다,sentence,4,13,original,True
370,조용히 지나가려 했는데 시간이 순간이동했다,fun,5,19,original,True
371,골목길에서 우주인이 사라진다,sentence,4,13,original,True
372,바닷가에서 강아지가 사라진다,sentence,4,13,original,True
373,바닷가에서 친구가 점프한다,sentence,3,12,original,True
374,고양이가 빠르게 움직인다,short_sentence,3,11,original,True
375,도서관에서 친구가 굴러간다,sentence,3,12,original,True
376,접시가 손을 흔든다,short_sentence,3,8,original,True
377,숲속에서 토끼가 다가온다,sentence,3,11,original,True
378,놀이터에서 강아지가 다가온다,sentence,4,13,original,True
379,카운트다운이 시작됐다 콤보를 계속 이어가자,game,5,19,original,True
380,정류장에서 마법사가 다가온다,sentence,4,13,original,True
381,숲속에서 강아지가 굴러간다,sentence,3,12,original,True
382,성 앞에서 토끼가 반짝인다,sentence,3,11,original,True
383,구름이 보물을 찾는다,short_sentence,3,9,original,True
384,옥상에서 토끼가 점프한다,sentence,3,11,original,True
385,딱 하나만 사려고 했는데 손가락이 먼저 움직였다,fun,5,20,original,True
386,숲속에서 강아지가 사라진다,sentence,3,12,original,True
387,다음 스테이지가 시작됐다 다음 목표를 준비하자,game,5,20,original,True
388,점심에는 창문을 열어보자,daily,3,11,original,True
389,새로운 길이 열렸다 한 번에 성공해보자,game,4,16,original,True
390,오락실에서 강아지가 춤을 춘다,sentence,4,13,original,True
391,우주인이 갑자기 멈춘다,short_sentence,3,10,original,True
392,강아지가 출발을 준비한다,short_sentence,3,11,original,True
393,공원에서 펭귄이 춤을 춘다,sentence,3,11,original,True
394,일단 책 한 장 읽어보자,daily,3,9,original,True
395,성 앞에서 로봇이 굴러간다,sentence,3,11,original,True
396,달빛 아래서 다람쥐가 춤을 춘다,sentence,4,13,original,True
397,알람이 손을 흔든다,short_sentence,3,8,original,True
398,기차가 달려간다,short_sentence,2,7,original,True
399,한 입만 먹으려고 했는데 웃음이 먼저 터졌다,fun,4,18,original,True
400,달빛 아래서 펭귄이 달려간다,sentence,3,12,original,True
401,도서관에서 펭귄이 사라진다,sentence,3,12,original,True
402,준비가 되면 끝까지 집중하자,daily,3,12,original,True
403,구름 위에서 우주인이 달려간다,sentence,4,13,original,True
404,새로운 길이 열렸다 정확하게 입력하자,game,4,16,original,True
405,다음 스테이지가 시작됐다 정확하게 입력하자,game,5,19,original,True
406,오락실에서 마법사가 날아간다,sentence,4,13,original,True
407,놀이터에서 친구가 춤을 춘다,sentence,3,12,original,True
408,우주선에서 고양이가 다가온다,sentence,4,13,original,True
409,구름 위에서 탐험가가 날아간다,sentence,4,13,original,True
410,조용히 마지막까지 가보자,daily,3,11,original,True
411,아침부터 간식부터 챙기자,daily,3,11,original,True
412,보물섬에서 펭귄이 날아간다,sentence,3,12,original,True
413,잠깐 간식부터 챙기자,daily,3,9,original,True
414,마법사가 반짝인다,short_sentence,3,8,original,True
415,옥상에서 토끼가 사라진다,sentence,3,11,original,True
416,오락실에서 우주인이 다가온다,sentence,4,13,original,True
417,정류장에서 친구가 날아간다,sentence,3,12,original,True
418,놀이터에서 우주인이 달려간다,sentence,4,13,original,True
419,분명 방금까지 있었는데 간식이 나를 기다린다,fun,5,19,original,True
420,바닷가에서 로봇이 점프한다,sentence,3,12,original,True
421,구름 위에서 토끼가 반짝인다,sentence,3,12,original,True
422,옥상에서 친구가 달려간다,sentence,3,11,original,True
423,성 앞에서 탐험가가 점프한다,sentence,3,12,original,True
424,로봇이 보물을 찾는다,short_sentence,3,9,original,True
425,옥상에서 고양이가 다가온다,sentence,3,12,original,True
426,공원에서 탐험가가 날아간다,sentence,3,12,original,True
427,바닷가에서 탐험가가 춤을 춘다,sentence,4,13,original,True
428,공원에서 우주인이 굴러간다,sentence,3,12,original,True
429,놀이터에서 고양이가 춤을 춘다,sentence,4,13,original,True
430,냉장고를 열었는데 계획이 살짝 바뀌었다,fun,4,17,original,True
431,빠르게 창문을 열어보자,daily,3,10,original,True
432,풍선이 떠오른다 콤보를 계속 이어가자,game,4,16,original,True
433,알람이 사라진다,short_sentence,2,7,original,True
434,보물섬에서 친구가 굴러간다,sentence,3,12,original,True
435,도서관에서 토끼가 달려간다,sentence,3,12,original,True
436,구름 위에서 펭귄이 춤을 춘다,sentence,3,12,original,True
437,고양이가 사라진다,short_sentence,3,8,original,True
438,우주인이 사라진다,short_sentence,3,8,original,True
439,지금은 기분 좋게 시작하자,daily,3,11,original,True
440,가볍게 맛있는 거 먹자,daily,3,9,original,True
441,숲속에서 마법사가 굴러간다,sentence,3,12,original,True
442,우주인이 달려간다,short_sentence,3,8,original,True
443,정류장에서 로봇이 점프한다,sentence,3,12,original,True
444,기차역에서 탐험가가 날아간다,sentence,4,13,original,True
445,운동장에서 마법사가 달려간다,sentence,4,13,original,True
446,마법사가 길을 찾는다,short_sentence,3,9,original,True
447,한 입만 먹으려고 했는데 갑자기 배가 고파졌다,fun,5,19,original,True
448,공원에서 토끼가 달려간다,sentence,3,11,original,True
449,알람이 길을 찾는다,short_sentence,3,8,original,True
450,보물섬에서 강아지가 날아간다,sentence,4,13,original,True
451,기차역에서 마법사가 달려간다,sentence,4,13,original,True
452,보물상자가 나타났다 침착하게 타이밍을 잡아라,game,5,20,original,True
453,구름 위에서 강아지가 사라진다,sentence,4,13,original,True
454,골목길에서 친구가 점프한다,sentence,3,12,original,True
455,지금은 음악을 들어보자,daily,3,10,original,True
456,도서관에서 마법사가 굴러간다,sentence,4,13,original,True
457,우주선에서 친구가 반짝인다,sentence,3,12,original,True
458,바닷가에서 다람쥐가 점프한다,sentence,4,13,original,True
459,놀이터에서 친구가 달려간다,sentence,3,12,original,True
460,빠르게 기분 좋게 시작하자,daily,3,11,original,True
461,옥상에서 다람쥐가 날아간다,sentence,3,12,original,True
462,공원에서 다람쥐가 춤을 춘다,sentence,3,12,original,True
463,퇴근하면 커피 한 잔 마시자,daily,3,11,original,True
464,성 앞에서 고양이가 달려간다,sentence,3,12,original,True
465,성 앞에서 강아지가 달려간다,sentence,3,12,original,True
466,바닷가에서 탐험가가 반짝인다,sentence,4,13,original,True
467,구름 위에서 마법사가 날아간다,sentence,4,13,original,True
468,오락실에서 마법사가 달려간다,sentence,4,13,original,True
469,도서관에서 우주인이 반짝인다,sentence,4,13,original,True
470,숲속에서 고양이가 다가온다,sentence,3,12,original,True
471,달빛 아래서 마법사가 점프한다,sentence,4,13,original,True
472,달빛 아래서 다람쥐가 굴러간다,sentence,4,13,original,True
473,일단 음악을 들어보자,daily,3,9,original,True
474,보너스가 등장했다 정확하게 입력하자,game,4,16,original,True
475,옥상에서 우주인이 춤을 춘다,sentence,3,12,original,True
476,마법사가 달려간다,short_sentence,3,8,original,True
477,기차역에서 친구가 굴러간다,sentence,3,12,original,True
478,알람이 높이 뛰어오른다,short_sentence,3,10,original,True
479,펭귄이 다가온다,short_sentence,2,7,original,True
480,놀이터에서 다람쥐가 날아간다,sentence,4,13,original,True
481,콤보가 이어진다 빠르게 다음 목표를 찾아라,game,4,18,original,True
482,기차역에서 고양이가 점프한다,sentence,4,13,original,True
483,잠깐 책 한 장 읽어보자,daily,3,9,original,True
484,바닷가에서 친구가 춤을 춘다,sentence,3,12,original,True
485,마지막 판이라고 했는데 승부욕이 깨어났다,fun,4,18,original,True
486,택배가 반짝인다,short_sentence,2,7,original,True
487,오늘은 산책하러 가자,daily,3,9,original,True
488,운동장에서 토끼가 반짝인다,sentence,3,12,original,True
489,기차역에서 마법사가 춤을 춘다,sentence,4,13,original,True
490,레이스가 시작된다 먼저 잡아라,game,4,13,original,True
491,택배가 높이 뛰어오른다,short_sentence,3,10,original,True
492,운동장에서 토끼가 사라진다,sentence,3,12,original,True
493,보너스가 등장했다 먼저 잡아라,game,4,13,original,True
494,운동장에서 강아지가 반짝인다,sentence,4,13,original,True
495,준비가 되면 좋은 것부터 해보자,daily,4,13,original,True
496,공원에서 펭귄이 반짝인다,sentence,3,11,original,True
497,로봇이 갑자기 멈춘다,short_sentence,3,9,original,True
498,성 앞에서 다람쥐가 춤을 춘다,sentence,3,12,original,True
499,기차역에서 마법사가 다가온다,sentence,4,13,original,True
500,옥상에서 토끼가 굴러간다,sentence,3,11,original,True
501,옥상에서 우주인이 날아간다,sentence,3,12,original,True
502,공원에서 펭귄이 사라진다,sentence,3,11,original,True
503,별빛이 높이 뛰어오른다,short_sentence,3,10,original,True
504,정류장에서 탐험가가 반짝인다,sentence,4,13,original,True
505,바닷가에서 다람쥐가 굴러간다,sentence,4,13,original,True
506,탐험가가 반짝인다,short_sentence,3,8,original,True
507,골목길에서 토끼가 춤을 춘다,sentence,3,12,original,True
508,보물섬에서 다람쥐가 달려간다,sentence,4,13,original,True
509,기차가 다가온다,short_sentence,2,7,original,True
510,저녁에는 창문을 열어보자,daily,3,11,original,True
511,바닷가에서 로봇이 사라진다,sentence,3,12,original,True
512,주말에는 가볍게 몸을 풀자,daily,3,11,original,True
513,바닷가에서 다람쥐가 춤을 춘다,sentence,4,13,original,True
514,바닷가에서 친구가 사라진다,sentence,3,12,original,True
515,토끼가 굴러간다,short_sentence,2,7,original,True
516,잠깐 눈을 감았는데 손가락이 먼저 움직였다,fun,4,18,original,True
517,보물섬에서 우주인이 사라진다,sentence,4,13,original,True
518,달빛 아래서 친구가 점프한다,sentence,3,12,original,True
519,준비가 되면 사진 한 장 찍자,daily,3,11,original,True
520,정류장에서 마법사가 사라진다,sentence,4,13,original,True
521,기차역에서 우주인이 반짝인다,sentence,4,13,original,True
522,우주선에서 강아지가 반짝인다,sentence,4,13,original,True
523,도서관에서 친구가 날아간다,sentence,3,12,original,True
524,공원에서 강아지가 달려간다,sentence,3,12,original,True
525,신나게 기분 좋게 시작하자,daily,3,11,original,True
526,도서관에서 펭귄이 반짝인다,sentence,3,12,original,True
527,펭귄이 달려간다,short_sentence,2,7,original,True
528,우주인이 손을 흔든다,short_sentence,3,9,original,True
529,공원에서 로봇이 날아간다,sentence,3,11,original,True
530,목표를 발견했다 한 번에 성공해보자,game,4,15,original,True
531,아침부터 맛있는 거 먹자,daily,3,10,original,True
532,퇴근하면 마지막까지 가보자,daily,3,12,original,True
533,정류장에서 고양이가 굴러간다,sentence,4,13,original,True
534,저녁에는 커피 한 잔 마시자,daily,3,11,original,True
535,숲속에서 강아지가 점프한다,sentence,3,12,original,True
536,다음 스테이지가 시작됐다 빠르게 다음 목표를 찾아라,game,5,22,original,True
537,집에 가면 음악을 들어보자,daily,3,11,original,True
538,다람쥐가 사라진다,short_sentence,3,8,original,True
